Rank,행정동_코드_명,하이브리드_점수,Model2_점수,핫플_유사도_점수,상권_유입_강도,주말_매출_비중,카페_밀집도
1,가산동,0.518813682840496,0.005855043146049784,0.6543814233979701,1.632851679791207e-05,0.6322446706555682,0.14540164425255572
2,역삼1동,0.4179601429713604,0.0009026963421463626,0.4092853678196458,4.9218192079523174e-05,0.24569361545198834,0.310160620389211
3,종로1·2·3·4가동,0.4068315566540942,0.0003436183452825018,0.5066958886487654,0.0001631173174093687,0.29208617744366855,0.3077721109642494
4,서교동,0.3269538767430582,-0.0035773662812939333,0.29919550985056526,6.163082958762992e-05,0.5372329298728662,0.6880965940107271
5,여의동,0.27976805025344187,-0.005891665707088846,0.15759687097024655,1.3840093551380648e-05,0.1713952215249382,0.056165481932140465
6,둔촌1동,0.2668202178176722,-0.0065203271396506906,0.05576136066351331,0.0001340323193058149,0.45683493190545493,0.007191201192950477
7,압구정동,0.26633492355987737,-0.00655954743593585,0.20640402356952997,2.2991533151323383e-05,0.4290182040934151,0.11154717569613132
8,상암동,0.24960295181509015,-0.007365943256230072,0.01563202313144676,1.313137883463989e-05,0.1774144304607671,0.0312014540685348
9,가양1동,0.24792669455781105,-0.007451205959441887,0.04067134698361561,6.782525741060371e-06,0.28859771897578645,0.06882795128316554
10,삼성1동,0.239591414454885,-0.007868883055234416,0.10306865530129736,2.9324510349035787e-05,0.359711887535184,0.1002595040594719
11,구로3동,0.23707088934655665,-0.007985723847026996,0.02860033922758154,2.361792118785891e-05,0.23348279001222846,0.16971851189989684
12,효창동,0.23511810685742057,-0.008078865702076509,-0.003256312645078576,3.204864273342697e-05,0.16784688787745525,0.08379714895923579
13,가양3동,0.2330096280133398,-0.00818315105147431,-0.0009829277506821386,7.907274518336364e-06,0.20414355302583778,0.025205492003669158
14,삼성2동,0.2311377986240908,-0.008275850466550196,0.0022067088044925754,2.4409178983545642e-05,0.1789009631330172,0.15735514597792175
15,성수2가3동,0.2271744809619048,-0.008472677927784025,0.014389582583171545,4.1131592696672974e-05,0.28291171950573923,0.2439867449880152
16,역삼2동,0.22609082944547063,-0.008524832163605495,0.0013214577919232761,2.5681104716135052e-05,0.1870627481581354,0.16856246496962582
17,서초2동,0.22428619760476196,-0.008615198296476431,0.014207857431624019,2.5924130907619798e-05,0.21760764166140698,0.15519377785029528
18,대치4동,0.22348364936440349,-0.008655949773990998,0.025504703137246138,4.029807667308348e-05,0.323775732830352,0.2856847476945552
19,명동,0.22281615028569896,-0.008704333673880363,0.17784085181532985,0.00017118817084555942,0.27033147857251816,0.44058930861317397
20,시흥2동,0.22214535044461498,-0.008719560956854552,0.0014858408762272496,4.707378706367128e-06,0.2947271506531447,0.01007898046189
21,위례동,0.22195279325910724,-0.008731125750017877,0.021826738368815185,7.59116679074759e-06,0.5137771978320559,0.017320949390135666
22,논현2동,0.22171335145291302,-0.008746084068806939,0.05281905284605995,4.382865271047564e-05,0.2954695926464683,0.2057838490503119
23,청담동,0.21914077921158806,-0.00887905976541095,0.11218033537517984,2.788758257659654e-05,0.3968607158464877,0.08843022500007164
24,잠원동,0.21891935499455087,-0.008878519927672416,-0.0009423444415929022,1.8127828935446154e-05,0.20058712560555125,0.051898755997344254
25,문정2동,0.2179371176588095,-0.00892863081322088,0.015204309199535467,7.472056076366253e-06,0.3436259235430011,0.14160689305389612
26,양평1동,0.21763993113707278,-0.008941199914648854,-0.005484792901827502,2.3935478263315602e-05,0.23089302706077758,0.0983102635718789
27,교남동,0.21627587862239503,-0.009009420335755598,0.0034278978494869847,3.456873749539187e-05,0.31375652721041075,0.06785849090891516
28,성수1가2동,0.2160551338735775,-0.009020616836430894,0.006412934423395366,3.467771358513547e-05,0.38560604727049125,0.34080411039928993
29,신당동,0.2149677682878331,-0.009074791662709402,0.011469438711297006,6.413642610577204e-05,0.2858932848700671,0.15191711140414904
30,월계2동,0.21190954279802263,-0.009223418549012471,-0.01120650178015179,1.0542346341131923e-05,0.2381822930395333,0.017232530710969713
31,면목4동,0.20972712008930844,-0.009332157589262324,-0.0009967687185918836,2.1544471575628345e-05,0.28466864100712047,0.04916807542917003
32,신정6동,0.20790565400957103,-0.00942190877005189,-0.002372277055656453,5.112710956016453e-06,0.3098091965726,0.027964636643676828
33,용강동,0.2069794446502913,-0.00946780135933427,-0.0005619440514329517,2.4646213141776073e-05,0.26601020256751867,0.12712907329603132
34,서초3동,0.20562511508387973,-0.009539988175060686,0.052212017267714066,3.2136232204713274e-05,0.23590191141861944,0.11161586306203371
35,사근동,0.20442544605344148,-0.009594154926290956,0.0025155054680122643,2.9164860157585774e-05,0.3082352551016879,0.0993646920645248
36,염리동,0.2043153006289575,-0.009599623024942302,0.0028345875096848798,2.6217308810404795e-05,0.36702731089724494,0.14147889289007975
37,상일동,0.2028472925399996,-0.009671607462627477,-0.001730669687436113,1.1811108584636013e-05,0.3387958738897137,0.0358472928094795
38,중림동,0.20164236762623683,-0.009729730246305386,-0.014960366037489934,1.4406669138586644e-05,0.2119079219924432,0.1271468026264467
39,개포1동,0.2010089847806467,-0.009762408081431416,-0.0009527910050810843,1.1877212930932665e-05,0.30351124984371186,0.004423515674365006
40,돈암1동,0.20054560142752362,-0.009785980838239512,0.005996646984081837,1.5022370492930783e-05,0.38606565492167133,0.020424001336436362
41,양평2동,0.20011238275471208,-0.009805821480743084,-0.009185318636240196,1.7586707104220033e-05,0.2336679314119088,0.041835566191802835
42,소공동,0.20006666247006358,-0.00981158971600414,0.025459034448417135,0.00012368555540034565,0.16175520424754342,0.24789392499811938
43,가양2동,0.19846423849314915,-0.00988766646670318,-0.00417476030078025,1.0197307422106432e-05,0.2992701893349615,0.004954111230329154
44,원효로1동,0.19794155972416916,-0.009912265869676109,-0.015964779037679656,2.644114222227154e-05,0.197877006448586,0.1716276102333449
45,등촌1동,0.19790385987247563,-0.009916100128390518,0.0035058688024554524,1.6606446009953745e-05,0.37911243934768274,0.15131629617328685
