"기준_년분기_코드","행정동_코드","행정동_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"20253","11530560","구로5동","167","5","4","","2","18","","3","1","1","2","1","","3","","","","","1","49"
"20253","11530550","구로4동","139","5","3","","","15","2","1","1","","","","1","","19","","","","","13"
"20253","11530540","구로3동","187","7","18","","","15","1","2","1","","","","","","5","","","","2","47"
"20253","11530530","구로2동","197","6","12","1","1","21","1","1","","1","","","7","","16","","","","1","48"
"20253","11530520","구로1동","88","4","1","","","5","3","1","1","1","","","4","","","","","","","25"
"20253","11530510","신도림동","168","5","4","","","12","2","1","1","1","1","","2","1","1","","","","3","43"
"20253","11500641","방화3동","83","5","1","","","5","2","3","2","1","1","","","","","","","","1","22"
"20253","11500640","방화2동","124","4","","","","7","3","1","1","","","","2","1","","4","","","5","37"
"20253","11500630","방화1동","200","2","3","","2","21","4","3","1","3","","","","","1","","","","1","46"
"20253","11500620","공항동","176","6","7","1","","11","1","2","2","","4","","","","","21","","","2","39"
"20253","11500615","우장산동","158","4","4","","3","12","3","2","","","5","","","","","","","","1","33"
"20253","11500611","발산1동","246","3","9","1","2","33","2","3","4","8","","","1","","","","","","","63"
"20253","11500605","가양3동","52","3","","","","4","3","2","1","1","","","","","","","","","1","13"
"20253","11500604","가양2동","75","4","3","","","7","3","1","1","1","","","","","","","","","1","14"
"20253","11500603","가양1동","279","5","13","","","20","3","1","1","1","","","","1","2","","","","5","69"
"20253","11500593","화곡8동","95","2","3","","","8","1","","","","","","","","","","","","1","33"
"20253","11500591","화곡6동","118","7","5","","","8","2","1","","","9","","","","","","","","","29"
"20253","11500590","화곡본동","145","3","","","1","11","1","2","","","","","","","","","","","","31"
"20253","11500570","화곡4동","101","4","2","","","14","3","1","","2","","","","","","","","","","30"
"20253","11500560","화곡3동","87","4","3","","","8","2","","","","","","","","","","","","","12"
"20253","11500550","화곡2동","65","2","","","","3","2","1","","","","","","","","","","","","30"
"20253","11500540","화곡1동","226","3","2","","2","26","","2","1","","","","","1","","","","","2","27"
"20253","11500535","등촌3동","184","6","3","1","2","18","2","5","2","4","","","","1","","","","","","55"
"20253","11500530","등촌2동","58","3","","","1","6","2","2","2","2","","","","","","","","","","8"
"20253","11500520","등촌1동","95","1","5","","1","10","","1","","","","","","1","","","","","","20"
"20253","11500510","염창동","147","5","3","","1","15","","2","2","","","","","","","","","","2","35"
"20253","11470680","신정7동","107","3","2","","","8","3","3","1","1","","","","","","","","","1","30"
"20253","11470670","신정6동","72","7","6","","","2","2","","1","1","","","","","","","","","","31"
"20253","11470650","신정4동","161","3","8","1","1","16","3","2","","2","","","","","","","","","1","18"
"20253","11470640","신정3동","203","4","1","","","15","1","3","1","4","","","","","","","","","1","81"
"20253","11470630","신정2동","71","3","1","","","7","1","2","1","","","","","","","","","","","20"
"20253","11470620","신정1동","94","7","3","","","9","2","2","1","","","","","","","","","","","26"
"20253","11470611","신월7동","74","6","1","","","10","2","","1","","","","","","","","","","","21"
"20253","11470610","신월6동","47","1","2","","1","5","1","1","1","","","","","","","","","","","15"
"20253","11470600","신월5동","54","3","","","1","3","2","1","2","","","","","","","","","","","12"
"20253","11470590","신월4동","63","2","1","","","6","3","1","","","","","","","","","","","","11"
"20253","11470580","신월3동","70","2","1","","","7","1","1","2","3","","","","","","","","","","8"
"20253","11470570","신월2동","65","3","1","","","6","1","2","2","","","","","","","","","","","12"
"20253","11470560","신월1동","71","3","3","","","12","1","","","","","","","","","","","","","9"
"20253","11470550","목5동","143","8","9","1","","12","4","3","2","2","","","","","","","","","","52"
"20253","11470540","목4동","84","3","3","","","9","1","1","1","1","","","","","","","","","","14"
"20253","11470530","목3동","96","3","4","","","11","1","","1","","","","","","","","","","","7"
"20253","11470520","목2동","97","3","2","","1","13","3","1","","","","","","","1","","","","1","18"
"20253","11470510","목1동","190","5","12","","1","21","1","1","1","1","2","","","2","","","","","2","29"
"20253","11440740","상암동","247","10","11","","","14","3","3","1","1","","","1","","","","","","4","104"
"20253","11440730","성산2동","158","6","3","","","13","2","3","2","","","","1","1","","","","","2","47"
"20253","11440720","성산1동","86","4","2","","","5","1","2","2","1","1","","","","1","","","","","29"
"20253","11440710","연남동","52","2","1","","","2","1","","1","2","","","","","","","","","","23"
"20253","11440700","망원2동","83","4","1","","","6","1","2","","","","","","","","","","","","33"
"20253","11440690","망원1동","95","2","2","","","11","","","","","","","","","1","","","","","23"
"20253","11440680","합정동","109","4","3","","","10","1","1","1","","","","","","","","","","","32"
"20253","11440660","서교동","358","13","22","","","31","1","1","","","2","","","5","3","","","","7","88"
"20253","11440655","서강동","156","6","4","","","7","1","1","","","20","","","","","","","","2","64"
"20253","11440630","신수동","76","4","1","","1","5","1","1","1","1","","","","","","","","","","24"
"20253","11440610","염리동","52","3","1","","","3","1","1","2","3","","","","","2","","","","","10"
"20253","11440600","대흥동","209","5","5","","","18","","3","1","1","27","","","","3","","","","3","38"
"20253","11440590","용강동","90","7","6","","1","10","2","1","","","","","","","","","","","1","24"
"20253","11440585","도화동","144","4","7","","","15","2","1","","","","","","1","1","","","","1","38"
"20253","11440565","공덕동","172","7","9","","","21","1","3","","","","","2","","","","","","4","39"
"20253","11440555","아현동","145","5","8","","","16","1","1","1","1","","","","","1","","","","2","23"
"20253","11410720","북가좌2동","115","3","3","","","12","2","","","","","","","","","","","","","39"
"20253","11410710","북가좌1동","60","1","2","","","5","2","1","1","1","","","","","","","","","","13"
"20253","11410700","남가좌2동","117","4","4","","","12","4","1","1","","8","","","","","","","","","24"
"20253","11410690","남가좌1동","94","2","3","","1","9","","1","","","","","1","","1","","","","1","20"
"20253","11410685","홍은2동","161","4","2","1","","8","","2","3","1","12","","","","","","","","","83"
"20253","11410660","홍은1동","86","3","","","","7","1","1","","","","","","","1","","","","","32"
"20253","11410655","홍제2동","56","1","","","","6","3","","","","","","","","1","","","","","15"
"20253","11410640","홍제3동","129","3","3","","2","14","1","2","1","","3","","4","","6","","","","1","46"
"20253","11410620","홍제1동","135","3","2","","","10","2","2","","","1","","","","1","","","","1","40"
"20253","11410615","연희동","201","7","7","","1","16","","1","3","1","13","","","1","1","","","","","70"
"20253","11410585","신촌동","368","6","10","1","","22","1","3","1","1","109","1","","4","3","","","","2","60"
"20253","11410565","충현동","184","9","8","","","7","1","3","1","2","24","","","","","","","","3","58"
"20253","11410555","북아현동","76","2","2","","1","7","1","1","","1","","","","","","","","","","17"
"20253","11410520","천연동","127","4","1","","","4","","1","1","1","11","","","","1","","","","","44"
"20253","11380690","진관동","242","6","6","","","22","6","6","2","4","","","","1","","","","","1","81"
"20253","11380650","수색동","60","5","2","","","5","1","1","","","","","2","","","","","","1","22"
"20253","11380640","증산동","83","3","","","","8","1","1","2","","","","2","","","","","","1","16"
"20253","11380632","신사2동","82","4","","","","5","","3","1","1","","","","","","","","","1","35"
"20253","11380631","신사1동","94","3","","","","8","3","","1","","5","","","","","","","","1","22"
"20253","11380625","역촌동","176","5","5","","2","18","2","1","","","","","","","","","","","","51"
"20253","11380600","응암3동","138","3","3","","1","16","1","1","2","1","","","2","","","","","","","31"
"20253","11380590","응암2동","91","3","1","","1","10","2","1","","","","","","","","","","","","37"
"20253","11380580","응암1동","133","5","5","","1","20","1","1","1","1","","","","","","","","","","27"
"20253","11380570","대조동","205","3","5","","1","24","","2","","2","","","","1","","","","","","32"
"20253","11380560","구산동","127","3","","","1","8","3","3","2","3","","","","","","","","","","38"
"20253","11380552","갈현2동","121","3","1","","1","15","5","2","1","5","","","","","","","","","1","34"
"20253","11380551","갈현1동","133","2","2","1","","13","1","","","","","","","","","","","","2","48"
"20253","11380530","불광2동","113","6","1","","","5","","3","3","1","","","3","","","","","","","32"
"20253","11380520","불광1동","198","6","4","","1","17","4","2","","","","","","1","","","","","3","49"
"20253","11380510","녹번동","148","8","3","","2","12","1","3","","","","","1","1","","","","","2","35"
"20253","11350720","상계10동","64","3","","","","1","1","2","1","1","","","","","","","","","","30"
"20253","11350710","상계9동","78","3","4","","","6","1","3","2","2","","","","","","","","","","18"
"20253","11350700","상계8동","92","3","3","","","7","","","1","","","","","","","","","","1","15"
"20253","11350695","상계6?7동","253","9","11","1","1","29","","3","2","1","4","","","1","","","","","","40"
"20253","11350670","상계5동","105","2","1","","","11","","1","","","","","","","3","","","","1","36"
"20253","11350665","상계3?4동","107","4","1","","","9","3","2","","","1","","","","2","","","","1","11"
"20253","11350640","상계2동","182","2","1","","2","19","1","1","1","","","","","1","","","","","2","33"
"20253","11350630","상계1동","190","5","2","","","14","3","3","2","1","","","","1","","","","","1","38"
"20253","11350625","중계2?3동","142","7","2","","","10","4","4","1","3","","","","2","","","","","1","39"
"20253","11350624","중계4동","81","2","3","","","14","1","1","3","2","","","","","","","","","","6"
"20253","11350621","중계1동","85","2","3","","","7","","2","1","2","","","","","","","","","","18"
"20253","11350619","중계본동","95","5","2","","","7","3","2","","3","","","","","","","","","","21"
"20253","11350612","하계2동","67","2","1","","","4","2","2","1","","","","","","","","","","1","28"
"20253","11350611","하계1동","133","4","3","1","","9","1","1","2","4","16","","","","","","","","","41"
"20253","11350600","공릉2동","271","7","6","1","","14","3","4","4","2","64","","1","","","","","","1","63"
"20253","11350595","공릉1동","211","4","6","","4","21","3","3","","","1","","1","","","","","","3","54"
"20253","11350580","월계3동","135","5","3","","","8","4","3","1","","","","","","","","","","2","47"
"20253","11350570","월계2동","136","4","","","","5","3","2","3","4","11","","","","","","","","1","64"
"20253","11350560","월계1동","159","4","2","","","10","2","1","1","1","17","","","","","","","","","59"
"20253","11320710","방학3동","112","3","3","","","6","3","3","1","","","","","","","","","","","47"
"20253","11320700","방학2동","64","3","","","","7","","1","1","","","","","","","","","","","23"
"20253","11320690","방학1동","148","6","6","","2","15","2","1","1","1","","","","","","","","","1","39"
"20253","11320681","쌍문4동","64","1","","","","4","5","2","2","3","","","","","","","","","","23"
"20253","11320680","쌍문3동","78","3","3","1","","12","","","1","","","","","","1","","","","1","17"
"20253","11320670","쌍문2동","87","3","1","","1","10","1","1","1","","","","","","2","","","","","19"
"20253","11320660","쌍문1동","126","6","1","","1","4","1","3","","1","17","","","","","","","","","54"
"20253","11320522","도봉2동","127","8","3","","","7","1","1","1","1","1","","","","1","","","","3","49"
"20253","11320521","도봉1동","122","4","1","","","9","2","2","1","1","2","","1","","","","","","","38"
"20253","11320515","창5동","119","7","3","","3","12","1","3","","","","","","2","","","","","2","24"
"20253","11320514","창4동","130","7","4","","","8","1","2","1","2","","","","","","","","","","51"
"20253","11320513","창3동","66","1","","","","7","1","2","","","","","1","","","","","","","25"
"20253","11320512","창2동","95","3","","","1","8","1","1","","","","","","","","","","","","44"
"20253","11320511","창1동","94","3","2","","","7","1","1","2","1","","","","","","","","","1","28"
"20253","11305660","인수동","175","13","2","1","2","14","2","2","2","","5","","1","","","","","","","57"
"20253","11305645","우이동","132","2","","","","7","1","","1","","2","","","","","","","","3","54"
"20253","11305635","수유3동","158","4","6","","1","16","","","1","","","","","1","","","","","1","30"
"20253","11305625","수유2동","85","3","","","","12","3","","","","","","","","","","","","1","15"
"20253","11305615","수유1동","153","4","2","","","12","","2","3","1","","","1","","","","","","1","40"
"20253","11305608","번3동","95","3","1","","","8","","2","","","","","","","","","","","","37"
"20253","11305603","번2동","110","5","","","","7","1","","1","","","","","","1","","","","","54"
"20253","11305595","번1동","136","3","3","","1","14","1","1","1","","","","","1","","","","","","30"
"20253","11305575","삼각산동","114","2","1","","","9","1","","1","1","1","","","","","","","","","36"
"20253","11305555","송천동","164","9","5","","1","17","","1","2","2","","","2","","","","","","1","24"
"20253","11305545","송중동","212","4","1","","2","18","4","2","","1","2","1","","1","","","","","","69"
"20253","11305535","미아동","144","3","3","","1","14","","","","1","4","","","","","","","","1","28"
"20253","11305534","삼양동","165","4","1","","","14","3","2","","1","","","","","","","","","3","34"
"20253","11290810","석관동","154","6","3","","","16","2","2","1","1","","","1","","2","","","","2","32"
"20253","11290780","장위3동","82","1","","","","5","1","2","1","","1","","1","","","","","","","39"
"20253","11290770","장위2동","89","3","2","","","11","1","3","","","","","","","","","","","1","27"
"20253","11290760","장위1동","103","4","1","","","8","6","1","1","","","","","","","","","","","37"
"20253","11290725","월곡2동","135","6","4","","","12","2","","1","","12","","","","","","","","2","34"
"20253","11290715","월곡1동","108","2","3","","","10","","2","1","1","","","","","1","","","","","30"
"20253","11290705","종암동","189","7","2","","1","17","3","2","2","1","2","","","","","","","","","56"
"20253","11290685","길음2동","112","5","","","3","14","","","","","","","","","","","","","","23"
"20253","11290660","길음1동","129","3","4","","","10","2","3","1","1","","","1","","","","","","1","26"
"20253","11290650","정릉4동","133","7","3","","","12","2","1","","2","11","","","","","","","","1","40"
"20253","11290640","정릉3동","124","4","1","","","2","","1","3","1","28","","","","","","","","","38"
"20253","11290630","정릉2동","110","4","3","","","6","1","2","","","","","","","","","","","1","50"
"20253","11290620","정릉1동","63","2","","","","6","2","","","","1","","","","","","","","","19"
"20253","11290610","보문동","77","4","4","","","6","","2","","","","","","","1","","","","2","10"
"20253","11290600","안암동","167","4","6","1","1","10","","1","1","1","71","","","","","","","","1","35"
"20253","11290590","돈암2동","88","4","2","","","4","6","1","","","","","","1","","","","","","38"
"20253","11290580","돈암1동","42","1","","","","2","2","2","2","1","","","","","","","","","","15"
"20253","11290575","동선동","146","1","4","","1","13","1","2","2","1","12","","","1","","","","","1","19"
"20253","11290555","삼선동","163","7","5","","","14","","1","1","2","14","","","","","","","","2","46"
"20253","11290525","성북동","166","6","4","","","6","2","1","3","2","5","","","","","","","","","55"
"20253","11260690","신내2동","104","6","3","","","12","3","4","","","","","","","","","","","","21"
"20253","11260680","신내1동","160","3","2","1","","13","2","2","","","","","","","","","","","1","53"
"20253","11260660","망우3동","54","1","1","","1","3","","2","","1","","","3","","","","","","","11"
"20253","11260655","망우본동","238","9","4","1","4","25","1","2","3","4","","","9","","2","","","","2","54"
"20253","11260630","묵2동","92","3","4","","","7","","2","","","","","","1","","","","","1","19"
"20253","11260620","묵1동","144","4","2","","2","11","2","1","2","2","","","","","","","","","","34"
"20253","11260610","중화2동","123","2","3","","","14","","","","","","","2","","","","","","3","32"
"20253","11260600","중화1동","79","2","1","","1","7","1","2","2","1","","","","","","","","","","14"
"20253","11260590","상봉2동","127","4","3","","1","10","","","","","","","","2","2","","","1","1","18"
"20253","11260580","상봉1동","78","3","1","","1","8","2","1","2","1","","","","","","","","","4","12"
"20253","11260575","면목3?8동","150","4","1","1","","17","1","2","2","1","8","","","","1","","","","1","34"
"20253","11260570","면목7동","108","2","2","","1","11","","1","","","","","1","","","","","","","18"
"20253","11260565","면목본동","168","4","2","","","18","1","2","","","","","13","","1","","","","1","30"
"20253","11260550","면목5동","42","2","1","","","3","","","","","","","4","","","","","","","13"
"20253","11260540","면목4동","61","2","","","","5","1","1","1","","","","","","","","","","1","15"
"20253","11260520","면목2동","112","3","","","1","11","2","2","","","","","8","","1","","","","","25"
"20253","11230750","이문2동","71","2","","","","6","1","1","","","2","","","","","","","","1","17"
"20253","11230740","이문1동","147","5","2","","","13","3","","","2","30","","","","","","","","1","26"
"20253","11230730","휘경2동","84","5","1","1","","5","1","2","3","3","4","","","","","","","","","27"
"20253","11230720","휘경1동","82","2","1","","","12","","","","","","","","","1","","","","3","18"
"20253","11230710","회기동","84","3","5","1","","10","1","3","1","1","14","","","","","","","","","10"
"20253","11230705","청량리동","154","9","4","1","","16","2","1","1","1","1","","","","2","","","","","34"
"20253","11230660","장안2동","168","3","2","","2","21","1","2","","1","1","","","1","1","","","","","38"
"20253","11230650","장안1동","192","5","11","","4","26","2","2","2","","","","","","","","","","1","43"
"20253","11230610","답십리2동","108","3","2","","2","13","3","1","","","","","3","","","","","","","19"
"20253","11230600","답십리1동","124","4","5","","","9","","2","1","","","","","","","","","","","25"
"20253","11230570","전농2동","102","2","2","","","12","3","3","2","1","27","","","","","","","","","15"
"20253","11230560","전농1동","152","5","2","","1","13","3","1","1","1","","","","1","5","","","","3","35"
"20253","11230545","제기동","288","4","5","","1","22","2","2","2","1","1","","3","","14","","","","1","30"
"20253","11230536","용신동","231","10","8","1","4","20","1","1","1","1","","","1","","5","","","","5","41"
"20253","11215870","구의3동","133","5","4","","","16","2","1","","","","","1","1","","","","1","1","25"
"20253","11215860","구의2동","112","3","2","","1","9","3","2","","","1","","","","","","","","1","24"
"20253","11215850","구의1동","77","2","4","","","9","1","","1","1","","","","","","","","","1","16"
"20253","11215847","자양4동","106","5","2","","1","15","1","","1","","","","1","1","","","","","1","16"
"20253","11215840","자양3동","105","2","6","","","8","2","2","1","1","1","1","","1","","","","","","30"
"20253","11215830","자양2동","95","2","1","","","8","2","4","2","1","","","1","","","","","","","21"
"20253","11215820","자양1동","106","3","4","1","","14","1","1","","","2","","","","","","","","","17"
"20253","11215810","광장동","139","5","9","","","9","3","3","3","1","11","","","","","","","","1","32"
"20253","11215780","능동","47","4","","","1","5","","1","","1","","","","","","","","","1","5"
"20253","11215770","중곡4동","105","2","2","","","7","","1","1","2","","","","","","","","","","37"
"20253","11215760","중곡3동","97","3","1","","1","9","","2","","","","","1","","","","","","1","29"
"20253","11215750","중곡2동","104","2","4","","","14","1","1","","","","","","","","","","","2","21"
"20253","11215740","중곡1동","74","2","","","","10","1","","","","","","1","","","","","","","19"
"20253","11215730","군자동","135","5","5","","1","12","1","2","","","20","","","1","","","","","","23"
"20253","11215710","화양동","167","3","5","1","","17","","2","2","1","34","","","1","","","","","2","16"
"20253","11200790","용답동","82","7","2","","","8","","1","","","","","1","","","","","","2","11"
"20253","11200720","송정동","44","2","","","1","5","","1","","","","","","","","","","","","17"
"20253","11200690","성수2가3동","104","3","16","","","11","","2","","","","","","1","","","","","1","20"
"20253","11200670","성수2가1동","109","3","3","","","13","","1","2","1","","","2","","1","","","","","38"
"20253","11200660","성수1가2동","79","3","6","","","6","","","1","1","1","","","","","","","","1","12"
"20253","11200650","성수1가1동","83","4","2","","","4","1","2","1","1","","","","1","","","","","1","33"
"20253","11200645","옥수동","129","4","2","","","10","2","2","1","1","","","","","","","","","2","45"
"20253","11200620","금호4가동","84","3","3","","","6","1","2","","","","","","","","","","","1","27"
"20253","11200615","금호2?3가동","135","3","2","","","13","","1","","","","","","","","","","","","46"
"20253","11200590","금호1가동","88","2","","","","6","1","1","","1","","","","","","","","","1","45"
"20253","11200580","응봉동","56","3","","","","2","","1","1","","","","","","","","","","1","30"
